order_id,customer_id,order_date,total_amount,discount_amount,final_amount,channel
98,2094,2023-07-13,480.4,35.09,445.31,In-Store
99,1912,2024-07-02,31.28,3.76,27.52,In-Store
100,1619,2023-06-17,83.55,12.35,71.2,In-Store
101,2831,2024-03-15,1006.52,135.67,870.85,Online
102,1558,2023-12-21,189.97,26.47,163.5,Online
103,2502,2024-11-17,525.0,58.48,466.52,Online
104,1518,2023-06-28,223.64,18.21,205.43,Online
105,2447,2023-03-19,769.61,53.26,716.35,Online
106,2262,2023-02-17,1397.27,87.31,1309.96,Online
107,2060,2023-04-17,634.45,49.65,584.8,In-Store
108,2750,2023-02-20,644.46,87.07,557.39,Online
109,3890,2024-07-23,722.34,38.47,683.87,Online
110,1797,2024-01-23,993.37,79.83,913.54,Online
111,3443,2024-06-13,523.48,31.53,491.95,Online
112,3782,2024-06-22,823.64,109.46,714.18,Online
113,3498,2023-12-01,880.37,53.23,827.14,Online
114,3544,2024-11-27,274.38,22.43,251.95,In-Store
115,2322,2023-10-01,384.48,22.4,362.08,Online
116,1119,2023-01-04,51.56,4.77,46.79,In-Store
117,1914,2023-02-24,252.13,17.06,235.07,In-Store
118,2075,2023-09-05,240.42,27.25,213.17,Online
119,210,2023-12-06,760.08,55.82,704.26,Online
120,3529,2024-04-17,789.1,111.12,677.98,Online
121,2011,2023-12-06,465.56,39.12,426.44,In-Store
122,2339,2023-12-31,811.19,90.23,720.96,Online
123,2597,2023-03-30,163.36,9.47,153.89,In-Store
124,2662,2023-10-23,674.35,57.82,616.53,In-Store
125,1682,2023-12-25,106.95,13.5,93.45,In-Store
126,2826,2023-05-30,341.7,35.63,306.07,Online
127,305,2023-11-22,638.57,34.66,603.91,Online
128,465,2023-05-20,149.64,8.84,140.8,In-Store
129,2842,2024-04-06,534.25,72.47,461.78,Online
130,2973,2023-10-09,948.3,106.78,841.52,In-Store
131,203,2023-05-11,591.39,47.15,544.24,Online
132,700,2023-08-31,1284.19,99.15,1185.04,Online
133,358,2023-10-08,1449.42,151.66,1297.76,In-Store
134,143,2023-07-08,174.45,17.4,157.05,Online
135,109,2023-08-21,410.83,26.32,384.51,In-Store
136,3338,2024-01-21,32.13,3.43,28.7,Online
137,581,2024-03-18,120.25,16.57,103.68,In-Store
138,1579,2024-05-05,114.21,12.63,101.58,Online
139,2179,2023-11-14,480.19,39.34,440.85,Online
140,634,2024-11-05,109.16,16.22,92.94,Online
141,3223,2023-12-05,345.5,31.3,314.2,Online
142,1058,2024-04-06,174.8,21.51,153.29,Online
143,2573,2023-07-05,786.64,46.21,740.43,Online
144,3723,2024-08-06,187.28,25.18,162.1,Online
145,2990,2024-09-23,150.96,16.89,134.07,Online
146,3228,2023-07-27,185.21,12.37,172.84,Online
147,3219,2024-07-05,553.38,35.77,517.61,Online
148,2820,2023-01-30,14.82,1.52,13.3,Online
149,2319,2023-03-27,577.81,63.15,514.66,Online
150,1000,2023-02-17,607.9,59.51,548.39,In-Store
151,3381,2024-07-04,429.99,38.6,391.39,Online
152,2098,2023-05-18,584.97,39.73,545.24,In-Store
153,1957,2024-06-20,209.11,24.71,184.4,Online
154,2883,2024-10-09,406.79,23.09,383.7,Online
155,1002,2023-02-10,454.82,46.31,408.51,In-Store
156,750,2024-08-30,283.98,26.46,257.52,Online
157,3879,2023-03-23,1007.43,60.99,946.44,In-Store
158,668,2024-11-28,397.27,49.58,347.69,In-Store
159,3173,2024-08-14,60.54,6.96,53.58,In-Store
160,2422,2024-03-31,599.29,52.31,546.98,In-Store
161,1618,2024-12-22,684.96,75.0,609.96,Online
162,1018,2023-10-24,266.52,24.97,241.55,Online
163,2046,2023-01-24,490.44,67.65,422.79,Online
164,1396,2023-04-07,664.78,53.01,611.77,In-Store
165,1724,2024-11-09,1422.2,145.56,1276.64,Online
166,3261,2023-01-14,598.68,40.13,558.55,Online
167,3411,2023-09-14,1084.09,91.35,992.74,Online
168,1803,2023-06-18,716.19,61.41,654.78,Online
169,3904,2023-10-16,322.38,21.21,301.17,Online
170,1009,2024-05-19,249.79,28.22,221.57,Online
171,1879,2023-10-10,473.15,39.48,433.67,Online
172,3809,2024-05-11,1338.75,104.11,1234.64,In-Store
173,560,2023-06-06,377.37,53.53,323.84,In-Store
174,2326,2023-02-19,151.84,21.07,130.77,Online
175,3216,2024-09-21,902.61,56.36,846.25,In-Store
176,281,2023-02-27,771.23,98.68,672.55,Online
177,674,2024-03-22,1253.86,134.81,1119.05,Online
178,2266,2023-12-16,567.47,31.1,536.37,Online
179,1261,2024-11-08,284.88,29.99,254.89,Online
180,3506,2023-07-27,946.71,141.36,805.35,In-Store
181,1063,2024-03-04,147.67,21.54,126.13,Online
182,2920,2024-08-08,970.02,89.46,880.56,Online
183,3392,2024-05-04,581.95,70.3,511.65,Online
184,226,2023-11-25,613.14,58.27,554.87,In-Store
185,520,2024-03-01,293.37,23.23,270.14,Online
186,3122,2024-01-11,167.34,20.0,147.34,Online
187,1507,2024-10-22,679.04,78.1,600.94,In-Store
188,3249,2023-12-26,252.6,17.11,235.49,Online
189,1579,2024-03-06,805.99,41.72,764.27,Online
190,2259,2024-03-29,744.87,93.1,651.77,Online
191,1062,2024-10-01,166.49,15.04,151.45,In-Store
192,240,2024-06-21,837.1,100.11,736.99,Online
193,175,2024-11-29,947.64,118.96,828.68,Online
194,2623,2024-05-08,904.95,128.76,776.19,In-Store
195,2403,2023-02-22,498.57,36.42,462.15,Online
196,1743,2023-10-03,289.34,31.99,257.35,Online
197,1012,2023-03-15,553.82,81.29,472.53,Online
198,1213,2023-09-04,642.55,46.22,596.33,Online
199,2682,2023-04-20,894.43,62.35,832.08,Online
200,1444,2024-11-26,213.62,19.87,193.75,Online
201,1065,2024-09-01,21.11,2.63,18.48,In-Store
202,3729,2024-02-29,280.55,19.7,260.85,Online
203,409,2023-10-24,1032.01,100.85,931.16,Online
204,1546,2023-12-15,187.14,18.29,168.85,Online
205,2128,2024-02-19,1398.52,164.84,1233.68,Online
206,1993,2024-07-04,586.79,79.35,507.44,Online
207,29,2024-02-20,1276.9,69.1,1207.8,Online
208,55,2023-04-08,464.78,43.81,420.97,In-Store
209,92,2023-04-29,197.09,23.69,173.4,Online
210,1197,2023-02-25,161.79,22.05,139.74,Online
211,2169,2023-05-12,60.54,4.54,56.0,Online
212,1858,2024-03-18,853.28,122.99,730.29,In-Store
213,3183,2024-05-22,146.18,18.16,128.02,In-Store
214,3814,2023-04-26,271.24,23.5,247.74,In-Store
215,82,2024-10-01,436.39,57.81,378.58,Online
216,64,2024-03-09,449.46,35.41,414.05,In-Store
217,1184,2024-03-27,664.3,86.49,577.81,Online
218,3687,2024-03-05,1029.9,58.12,971.78,Online
219,2818,2024-06-29,192.98,26.07,166.91,Online
220,2085,2023-12-30,54.39,4.37,50.02,Online
221,1859,2024-02-02,426.78,23.04,403.74,In-Store
222,1240,2023-03-18,150.77,17.45,133.32,Online
223,3697,2023-05-17,371.04,20.4,350.64,Online
224,986,2024-02-12,691.1,103.61,587.49,Online
225,1697,2023-11-03,141.3,8.57,132.73,Online
226,3944,2023-02-02,416.29,52.01,364.28,Online
227,73,2024-01-22,375.68,20.49,355.19,Online
228,3232,2024-10-20,230.51,16.12,214.39,In-Store
229,3361,2024-03-24,467.14,49.54,417.6,Online
230,3339,2024-09-13,54.57,5.28,49.29,Online
231,1263,2024-11-12,979.86,59.77,920.09,Online
232,2116,2023-05-05,538.44,67.46,470.98,Online
233,3574,2024-01-18,747.49,85.61,661.88,Online
234,2703,2023-09-04,461.04,58.45,402.59,Online
235,3726,2023-06-05,630.93,87.05,543.88,Online
236,2604,2024-10-22,674.05,92.73,581.32,Online
237,653,2024-05-30,321.54,46.03,275.51,Online
238,2359,2023-08-28,377.52,25.0,352.52,Online
239,618,2023-07-24,222.72,27.58,195.14,Online
240,3328,2023-05-27,415.33,56.18,359.15,Online
241,627,2023-04-11,104.85,10.71,94.14,Online
242,163,2024-04-30,631.09,34.81,596.28,Online
243,346,2024-11-16,377.08,37.63,339.45,In-Store
244,3369,2024-03-14,515.16,29.09,486.07,Online
245,2095,2023-02-26,420.27,62.53,357.74,Online
246,244,2024-08-24,313.04,28.32,284.72,In-Store
247,2780,2023-09-09,769.09,103.58,665.51,Online
248,2522,2024-01-13,405.64,24.94,380.7,Online
249,837,2024-10-04,35.76,4.92,30.84,Online
250,671,2024-01-29,747.03,84.35,662.68,In-Store
251,3262,2024-04-16,807.55,120.94,686.61,Online
252,406,2024-05-23,627.57,79.18,548.39,Online
253,1870,2024-02-11,511.92,53.19,458.73,In-Store
254,925,2024-07-02,551.79,28.65,523.14,Online
255,2636,2023-05-16,644.98,89.82,555.16,In-Store
256,1747,2024-06-19,1098.28,77.84,1020.44,In-Store
257,3664,2023-02-13,304.65,22.21,282.44,Online
258,2985,2023-09-30,798.28,79.03,719.25,Online
259,397,2024-04-04,1054.78,149.74,905.04,Online
260,976,2023-05-10,607.4,51.55,555.85,Online
261,559,2023-03-21,818.57,107.27,711.3,In-Store
262,3221,2023-07-04,199.76,23.84,175.92,Online
263,1984,2023-09-10,782.85,95.57,687.28,In-Store
264,670,2023-06-17,826.11,61.15,764.96,Online
265,2786,2024-11-15,956.66,55.1,901.56,In-Store
266,1949,2023-04-23,733.31,55.8,677.51,Online
267,3534,2024-12-08,488.37,59.37,429.0,Online
268,2913,2024-10-03,281.02,15.96,265.06,Online
269,3141,2023-05-03,93.15,12.42,80.73,Online
270,1363,2023-04-28,520.11,49.82,470.29,Online
271,973,2024-06-17,35.07,2.33,32.74,In-Store
272,2538,2023-06-11,589.19,73.25,515.94,In-Store
273,111,2023-07-11,690.93,46.45,644.48,In-Store
274,2518,2023-09-25,1252.51,138.66,1113.85,Online
275,163,2023-11-26,439.63,62.06,377.57,Online
276,1723,2023-01-01,488.61,45.48,443.13,Online
277,151,2023-12-01,1099.3,62.98,1036.32,Online
278,245,2024-01-04,458.57,40.87,417.7,In-Store
279,64,2023-07-01,255.3,17.56,237.74,In-Store
280,867,2024-08-10,159.69,20.23,139.46,Online
281,1663,2023-12-11,393.89,25.08,368.81,Online
282,1401,2024-07-20,567.28,58.3,508.98,Online
283,2139,2023-11-18,379.86,28.13,351.73,Online
284,1629,2023-10-30,851.78,85.81,765.97,Online
285,2868,2024-03-27,93.34,11.08,82.26,Online
286,3161,2023-06-14,265.78,30.56,235.22,Online
287,3771,2023-02-15,727.19,71.39,655.8,Online
288,3277,2024-08-25,645.39,44.06,601.33,In-Store
289,943,2023-06-11,802.98,60.92,742.06,Online
290,3971,2023-01-01,593.98,50.07,543.91,Online
291,3678,2023-01-02,228.15,30.61,197.54,Online
292,100,2024-08-12,618.61,44.57,574.04,Online
293,334,2023-02-09,443.9,35.61,408.29,In-Store
294,81,2024-01-08,1107.21,149.3,957.91,Online
295,2527,2024-08-27,1156.51,133.7,1022.81,Online
296,1418,2024-03-13,143.88,19.87,124.01,Online
297,1567,2024-10-09,382.6,47.56,335.04,In-Store
298,1051,2023-09-08,536.04,75.6,460.44,Online
299,2108,2023-05-12,590.43,78.58,511.85,In-Store
300,265,2023-09-16,268.56,21.33,247.23,Online
301,2432,2024-12-05,499.26,37.04,462.22,Online
302,2801,2024-09-05,291.87,22.32,269.55,Online
303,1739,2023-08-11,897.93,63.49,834.44,Online
304,2736,2024-12-17,793.34,54.72,738.62,In-Store
305,3989,2023-12-18,300.24,31.05,269.19,Online
306,1789,2023-04-21,649.95,49.69,600.26,Online
307,1032,2024-04-30,308.39,24.09,284.3,Online
308,3155,2023-07-02,1157.14,162.28,994.86,Online
309,1077,2023-09-18,483.84,33.65,450.19,In-Store
310,2678,2024-09-14,399.33,50.91,348.42,Online
311,1191,2024-07-30,559.94,81.88,478.06,Online
312,2452,2024-02-24,1296.42,167.45,1128.97,Online
313,1118,2024-09-14,546.84,28.38,518.46,Online
314,1547,2024-08-11,407.52,44.63,362.89,Online
315,1122,2024-04-02,287.61,27.65,259.96,In-Store
316,105,2023-01-22,95.62,5.28,90.34,Online
317,3324,2023-05-01,227.76,13.65,214.11,Online
318,307,2024-03-17,322.69,38.41,284.28,Online
319,986,2024-05-14,665.05,52.34,612.71,In-Store
320,497,2023-09-15,1258.18,174.42,1083.76,Online
321,1032,2023-05-14,670.31,54.94,615.37,Online
322,3198,2024-04-25,802.74,45.1,757.64,In-Store
323,686,2023-05-07,692.75,83.47,609.28,Online
324,3337,2024-06-12,848.74,74.5,774.24,Online
325,2389,2023-11-08,342.1,32.28,309.82,In-Store
326,2976,2023-02-24,844.88,101.36,743.52,Online
327,1621,2023-06-23,150.42,17.86,132.56,In-Store
328,413,2024-08-10,523.33,43.23,480.1,Online
329,2475,2024-07-06,516.0,30.79,485.21,Online
330,113,2024-10-25,568.92,75.34,493.58,Online
331,829,2024-09-20,117.58,9.19,108.39,In-Store
332,3371,2023-09-21,498.39,57.99,440.4,Online
333,3386,2023-02-26,448.25,30.84,417.41,Online
334,2223,2023-04-21,89.66,8.87,80.79,Online
335,2100,2023-07-11,266.9,24.02,242.88,Online
336,3471,2023-03-30,300.59,17.32,283.27,Online
337,1292,2024-01-06,397.72,26.52,371.2,Online
338,1148,2024-05-14,1035.75,131.18,904.57,In-Store
339,3554,2023-03-08,226.93,24.24,202.69,In-Store
340,2002,2024-09-20,622.51,81.29,541.22,Online
341,3798,2023-10-28,425.6,48.82,376.78,In-Store
342,2272,2024-08-08,160.31,11.29,149.02,In-Store
343,2155,2023-05-15,261.2,38.62,222.58,Online
344,2723,2023-12-08,97.08,9.87,87.21,In-Store
345,882,2023-10-04,837.89,106.25,731.64,In-Store
346,1327,2023-04-16,369.66,53.01,316.65,Online
347,1564,2024-05-26,581.09,69.5,511.59,Online
348,3650,2024-11-23,383.24,48.34,334.9,Online
349,2323,2024-07-07,166.75,8.57,158.18,Online
350,2691,2023-05-22,223.55,24.64,198.91,Online
351,2673,2023-04-30,156.52,18.81,137.71,Online
352,2410,2024-07-03,417.76,56.33,361.43,In-Store
353,1241,2023-11-23,177.3,16.37,160.93,In-Store
354,1425,2024-06-26,536.64,73.75,462.89,Online
355,3442,2023-01-16,273.34,25.49,247.85,In-Store
356,2721,2023-01-21,454.14,51.33,402.81,Online
357,1272,2023-10-01,109.53,12.75,96.78,In-Store
358,3809,2023-11-24,955.43,53.9,901.53,Online
359,1607,2023-09-30,1269.18,140.17,1129.01,Online
360,2109,2024-12-24,154.39,7.75,146.64,Online
361,2376,2024-10-08,1129.66,58.07,1071.59,In-Store
362,2476,2024-02-13,380.46,36.11,344.35,Online
363,722,2023-06-08,491.52,36.8,454.72,Online
364,1877,2024-12-04,1043.41,72.02,971.39,Online
365,3945,2023-10-10,244.18,28.38,215.8,Online
366,807,2024-07-04,482.76,29.32,453.44,Online
367,792,2024-01-07,675.67,74.91,600.76,In-Store
368,3002,2023-01-14,312.96,25.45,287.51,In-Store
369,3018,2023-04-23,63.43,7.01,56.42,Online
370,1881,2024-12-20,375.25,44.83,330.42,Online
371,1677,2024-04-11,1481.55,147.56,1333.99,Online
372,2479,2023-01-02,551.18,79.01,472.17,Online
373,683,2023-03-02,1236.35,142.68,1093.67,In-Store
374,2208,2023-12-14,564.09,31.11,532.98,In-Store
375,3936,2023-01-12,317.58,16.34,301.24,In-Store
376,2184,2023-10-15,131.01,14.15,116.86,Online
377,3257,2023-10-08,486.95,37.49,449.46,Online
378,2584,2023-04-27,728.74,45.46,683.28,In-Store
379,350,2023-03-07,216.54,26.02,190.52,In-Store
380,3407,2024-01-19,265.86,39.72,226.14,Online
381,216,2024-11-16,19.91,2.37,17.54,Online
382,1106,2023-11-24,686.75,81.84,604.91,Online
383,2452,2023-04-18,520.58,75.05,445.53,In-Store
384,1365,2024-08-28,195.34,22.12,173.22,In-Store
385,3995,2023-01-27,274.35,32.4,241.95,Online
386,838,2024-04-05,636.31,56.61,579.7,In-Store
387,515,2023-11-22,283.1,38.72,244.38,In-Store
388,3111,2023-03-16,870.6,57.74,812.86,Online
389,917,2023-01-10,808.42,71.82,736.6,Online
390,3073,2024-10-20,163.8,21.08,142.72,Online
391,3920,2023-05-14,367.52,50.12,317.4,Online
392,2394,2023-03-30,346.82,35.3,311.52,In-Store
393,888,2023-11-18,1152.32,77.8,1074.52,In-Store
394,1835,2024-08-28,132.6,17.24,115.36,Online
395,3801,2024-10-05,36.69,4.78,31.91,Online
396,214,2024-08-16,287.29,23.66,263.63,In-Store
397,184,2023-08-12,1412.25,177.79,1234.46,Online
398,855,2024-04-22,870.24,97.31,772.93,Online
399,1118,2023-09-14,1240.32,166.03,1074.29,In-Store
400,2764,2024-08-16,222.62,30.47,192.15,Online
401,2841,2023-05-05,1037.39,120.79,916.6,In-Store
402,3213,2023-06-05,64.35,6.15,58.2,Online
403,61,2024-12-24,139.22,18.92,120.3,Online
404,2445,2024-01-16,340.14,20.79,319.35,Online
405,1420,2024-02-19,1005.03,92.4,912.63,Online
406,1454,2023-06-08,525.97,64.32,461.65,In-Store
407,2395,2024-03-05,1279.44,169.9,1109.54,Online
408,555,2023-08-20,396.24,44.4,351.84,Online
409,555,2024-11-04,571.39,78.08,493.31,In-Store
410,2645,2024-02-19,47.5,5.01,42.49,Online
411,1105,2023-06-17,107.95,11.92,96.03,Online
412,565,2024-08-02,114.76,17.12,97.64,In-Store
413,2680,2024-12-04,117.82,16.36,101.46,Online
414,2972,2024-11-24,754.94,42.97,711.97,Online
415,3887,2023-02-24,1104.4,138.88,965.52,Online
416,3270,2023-09-02,177.68,21.14,156.54,Online
417,3361,2024-03-22,420.15,38.51,381.64,In-Store
418,458,2023-04-25,206.99,26.79,180.2,Online
419,1272,2024-08-18,493.11,66.58,426.53,Online
420,3092,2024-01-17,639.55,82.35,557.2,Online
421,2231,2024-02-11,561.33,35.56,525.77,Online
422,170,2024-06-25,415.15,31.01,384.14,Online
423,493,2024-05-14,723.5,97.14,626.36,Online
424,3141,2024-07-11,699.43,74.37,625.06,In-Store
425,3667,2023-05-13,176.37,14.5,161.87,Online
426,3964,2023-04-11,440.76,31.58,409.18,Online
427,718,2023-12-14,194.58,10.41,184.17,Online
428,2537,2023-08-02,1060.66,126.29,934.37,Online
429,3350,2024-04-06,106.03,12.7,93.33,Online
430,2062,2023-02-13,353.79,45.67,308.12,Online
431,3079,2023-08-17,599.31,46.86,552.45,In-Store
432,1903,2023-04-27,248.22,20.56,227.66,Online
433,1623,2023-03-26,364.94,24.05,340.89,Online
434,612,2023-10-26,1204.96,104.19,1100.77,Online
435,1594,2024-02-24,1010.53,125.73,884.8,Online
436,595,2024-02-25,300.66,40.21,260.45,In-Store
437,1944,2023-02-13,623.32,52.49,570.83,Online
438,2771,2023-10-18,594.58,58.75,535.83,Online
439,3262,2023-03-10,432.09,28.26,403.83,Online
440,380,2023-09-10,670.37,52.1,618.27,Online
441,320,2023-11-12,606.0,55.93,550.07,Online
442,1363,2024-02-03,192.3,12.46,179.84,Online
443,2421,2024-11-24,687.6,91.0,596.6,Online
444,3734,2023-11-01,263.29,18.96,244.33,In-Store
445,3936,2023-01-07,750.41,78.48,671.93,In-Store
446,3852,2024-04-21,310.2,39.15,271.05,Online
447,2452,2024-08-26,248.85,33.08,215.77,Online
448,3915,2024-05-13,159.19,21.45,137.74,Online
449,489,2024-07-21,915.33,68.2,847.13,In-Store
450,2085,2024-10-01,422.98,30.95,392.03,Online
451,442,2023-01-28,333.69,29.56,304.13,Online
452,3105,2023-06-09,357.78,26.53,331.25,Online
453,955,2023-07-23,415.91,44.19,371.72,Online
454,345,2023-02-15,269.44,40.36,229.08,In-Store
455,1959,2024-12-27,422.92,48.56,374.36,Online
456,3738,2024-12-19,619.38,46.8,572.58,In-Store
457,3405,2024-12-27,195.0,27.78,167.22,Online
458,2567,2023-07-26,1285.12,68.68,1216.44,In-Store
459,3973,2023-01-25,231.57,17.64,213.93,Online
460,388,2024-12-06,823.04,59.86,763.18,Online
461,3659,2023-11-24,585.93,46.89,539.04,In-Store
462,1525,2024-08-05,898.95,55.1,843.85,Online
463,3845,2023-08-20,681.8,89.82,591.98,Online
464,150,2024-11-01,456.96,62.42,394.54,Online
465,987,2024-11-09,15.4,1.23,14.17,In-Store
466,1658,2024-10-15,211.4,25.72,185.68,Online
467,1269,2024-05-25,408.09,59.21,348.88,In-Store
468,3270,2023-01-24,778.08,114.61,663.47,In-Store
469,3644,2024-12-03,459.54,25.32,434.22,Online
470,3685,2024-10-31,202.19,10.26,191.93,In-Store
471,339,2023-09-07,654.6,60.1,594.5,Online
472,2776,2024-06-10,360.32,49.56,310.76,Online
473,3562,2023-05-25,471.68,53.33,418.35,In-Store
474,3335,2023-11-10,52.9,6.89,46.01,Online
475,2690,2024-11-10,958.66,78.87,879.79,Online
476,2845,2023-04-02,305.06,36.02,269.04,In-Store
477,1781,2024-07-23,293.28,24.7,268.58,Online
478,1624,2024-03-26,164.08,10.99,153.09,Online
479,3487,2023-06-04,577.04,64.41,512.63,Online
480,3829,2024-02-16,432.06,42.38,389.68,Online
481,2481,2023-08-24,703.32,69.1,634.22,Online
482,2067,2024-01-02,778.63,54.54,724.09,Online
483,2969,2024-09-19,189.34,27.36,161.98,Online
484,3008,2024-12-03,604.05,70.99,533.06,Online
485,1112,2024-07-31,324.22,40.46,283.76,Online
486,3077,2024-02-20,38.12,3.91,34.21,Online
487,485,2023-10-21,218.71,23.43,195.28,Online
488,1405,2023-11-28,377.06,56.33,320.73,Online
489,1708,2024-06-28,320.37,27.66,292.71,Online
490,2096,2023-06-10,49.97,6.53,43.44,Online
491,2888,2024-08-15,1058.24,60.26,997.98,In-Store
492,893,2023-02-22,571.48,29.32,542.16,Online
493,3173,2024-03-17,626.57,43.26,583.31,In-Store
494,3717,2023-10-02,457.36,35.67,421.69,In-Store
495,3995,2023-03-11,720.6,52.95,667.65,In-Store
496,2324,2024-04-18,63.12,6.22,56.9,Online
497,722,2023-10-20,420.23,45.99,374.24,Online
498,1931,2023-12-07,544.13,57.84,486.29,Online
499,2505,2024-08-13,463.26,38.63,424.63,Online
500,3388,2023-08-23,278.98,27.15,251.83,Online
501,2667,2024-01-14,979.98,129.82,850.16,Online
502,3632,2024-09-19,95.18,7.34,87.84,Online
503,1253,2023-06-12,734.19,74.85,659.34,In-Store
504,2521,2023-05-01,567.37,75.54,491.83,Online
505,2349,2024-02-26,996.28,89.78,906.5,Online
506,1452,2023-03-28,910.49,49.36,861.13,In-Store
507,834,2023-04-07,298.93,32.43,266.5,Online
